Coffee_Shop_Name,Review Title,Rating,Cat_Rate,Bool_HIGH,Tea_Rate,Service_Rate,Seating_Rate,Parking_Rate
Sorrento's Coffee ,Apex London Wall repeat visit,3,LOW,0,0,0,0,0
Flightpath Coffeehouse ,Just as good second time around!,5,HIGH,1,0,0,0,0
TOMS ,Felt like a princess,5,HIGH,1,0,2,0,0
Jo's Coffee ,Safety concerns.....,4,HIGH,1,0,0,0,0
Houndstooth Coffee ,Good Hotel - Great Area,5,HIGH,1,0,2,0,0
Vintage Heart Coffee ,Freundliches & zukommendes Personal sowie sehr gute Lage,5,HIGH,1,0,0,0,0
Picnik Austin ,The gift of a lifetime and a memory to last for ever,1,LOW,0,0,0,0,0
Bennu Coffee ,Very good hotel in the City,2,LOW,0,0,2,0,0
Caffe Medici ,Good stay,5,HIGH,1,0,0,0,0
Tea Haus ,Amazing 5 star hotel!,5,HIGH,1,0,0,2,0
Monkey Nest Coffee ,"Excellent location, great staff",5,HIGH,1,0,0,0,0
Mozart's Coffee Roasters ,Great value in perfect location,5,HIGH,1,0,0,0,0
Cenote ,Eccellente,5,HIGH,1,0,2,2,0
Trianon Coffee ,Superior in every respect,5,HIGH,1,0,0,1,0
The Buzz Mill ,Excellent hotel all round,5,HIGH,1,0,0,0,-1
Radio Coffee & Beer ,Disappointing ...,3,LOW,0,0,0,0,-2
Thunderbird Coffee ,Visit 3 July,5,HIGH,1,0,0,0,0
Cherrywood Coffeehouse ,Good hotel but bad bed,5,HIGH,1,0,0,0,0
Genuine Joe ,Where is the Wow Factor?,5,HIGH,1,0,0,0,0
Alta's Cafe ,Ottimo,5,HIGH,1,0,1,0,0
Cream Whiskers ,Great Stay in London,5,HIGH,1,0,0,0,0
Dominican Joe ,A Fabulous Treat!,5,HIGH,1,0,0,0,1
The Hideout Coffeehouse ,Great value South Bank Sunday package,5,HIGH,1,0,0,0,0
La Tazza Fresca ,"Different, Great Location, Great Interior",5,HIGH,1,0,0,0,0
Teo ,This is such a nice hotel!,5,HIGH,1,0,0,0,0
Cuvee Coffee Bar ,A Great Stay,2,LOW,0,0,0,0,-2
Halcyon ,Could be so much better,5,HIGH,1,0,2,0,0
Epoch Coffee ,Très sympathique,5,HIGH,1,0,0,0,0
Stinson's ,Excellent hotel but make sure you book to use the bar area in advance,5,HIGH,1,0,0,0,0
Kick Butt Coffee Music & Booze ,Superbreak Stay,5,HIGH,1,2,0,0,0
Pacha ,best in the whole world,5,HIGH,1,1,0,0,0
"Strange Brew, Austin Coffee ",Excelente opcion en Londres,5,HIGH,1,0,1,0,0
Once Over Coffee Bar ,BEaufort suite - Faultless,5,HIGH,1,2,0,0,0
,Friendliest staff,5,HIGH,1,0,0,0,0
,Fabulous hotel,5,HIGH,1,0,0,0,0
,Everything I had hoped for.,5,HIGH,1,1,2,0,0
,Lovely Birthday treat,5,HIGH,1,-1,2,0,0
,Beautiful hotel experience,5,HIGH,1,0,0,0,0
,Elegance - great for drinks for business or with family or friends,5,HIGH,1,0,1,0,0
,Good place to stay in London,3,LOW,0,0,0,0,0
,Great Location in the Heart of Knightsbridge,4,HIGH,1,0,1,0,0
,Trip to Wimbledon,2,LOW,0,0,0,1,0
,Exemplary Service and Stunning Hotel,4,HIGH,1,0,0,0,0
,Petite mais propre/ small but clean,4,HIGH,1,0,1,0,0
,Wow....,4,HIGH,1,0,0,0,0
,Handy for everything,4,HIGH,1,0,0,0,0
,Absolutely Amazing Stay,5,HIGH,1,0,0,0,0
,anything you dream,5,HIGH,1,0,2,0,0
,lost for words,5,HIGH,1,0,0,0,0
,Amazing Service,3,LOW,0,0,-1,0,0
,Lebanese food,4,HIGH,1,0,2,0,0
,Confortavel e belo,4,HIGH,1,0,0,0,0
,excellent hotel,4,HIGH,1,0,0,0,0
,"Excellent Stay at The Rembrandt: Location, Comfort, Service",5,HIGH,1,0,0,0,0
,Great hotel and super location,3,LOW,0,0,0,0,0
,late lunch,4,HIGH,1,3,1,0,0
,Xenia weekend break,3,LOW,0,0,0,1,0
,<U+0391><U+03B3><U+03B3><U+03BB><U+03B9><U+03BA><U+03BF>!,4,HIGH,1,0,-1,0,0
,A perfect base,5,HIGH,1,0,0,0,0
,short break,4,HIGH,1,0,0,0,0
,Comfortable and friendly,4,HIGH,1,0,1,0,0
,Solid addition to Autograph name,1,LOW,0,0,0,0,1
,Cheap comfortable one night stay around from Hyde Park,4,HIGH,1,0,0,1,0
,A Gem-Off the Radar. Best Hotel,5,HIGH,1,0,0,0,0
,Amazing jazz dinner experience,4,HIGH,1,0,0,0,0
,POSH!,5,HIGH,1,0,2,0,0
,Our Mondrian hotel stay was our best ever stay in a London hotel,1,LOW,0,0,0,0,0
,Little bit of LA on The Thames,2,LOW,0,0,0,0,0
,Great staff,4,HIGH,1,0,0,0,0
,OMG the view!,3,LOW,0,0,2,0,1
,Birthday two-nighter,4,HIGH,1,0,0,0,0
,5 star service in a 5 Star location,4,HIGH,1,0,0,0,0
,minimo indispensabile,2,LOW,0,0,1,0,0
,What a find,5,HIGH,1,0,1,0,-1
,Great visit,4,HIGH,1,0,2,0,0
,Fab!,4,HIGH,1,0,0,0,1
,"Overall enjoyable stay, would recommend",5,HIGH,1,0,2,0,0
,Top Hotel,4,HIGH,1,0,0,0,0
,Just fabulous,4,HIGH,1,0,0,0,0
,Best I have expierenced in London,5,HIGH,1,0,1,-1,0
,My new London favorite,5,HIGH,1,0,2,0,0
,Stayed at the Rembrandt,5,HIGH,1,0,0,0,0
,Cheap and Basic,5,HIGH,1,0,0,0,0
,Fabulous,5,HIGH,1,0,3,0,0
,A Fantastic Experience!,5,HIGH,1,0,0,0,0
,Gutes Hotel nahe Ubahn,4,HIGH,1,0,1,0,0
,Great smaller hotel in financial district,5,HIGH,1,0,2,0,0
,Excelente hotel bien situado,5,HIGH,1,0,0,0,0
,Great hotel,5,HIGH,1,0,0,0,0
,One of the best hotels in London.,4,HIGH,1,0,0,2,0
,high tea,4,HIGH,1,0,0,0,0
,Bene ma quante scale!!!,5,HIGH,1,0,0,0,0
,1 star service,4,HIGH,1,0,0,0,0
,"Great place to stay, feel like home",4,HIGH,1,0,0,0,0
,Special Afternoon Tea,5,HIGH,1,0,0,0,0
,Great Location,4,HIGH,1,-2,1,0,0
,Great hotel,5,HIGH,1,0,0,0,0
,Great location,5,HIGH,1,0,2,0,0
,Stunning,5,HIGH,1,0,0,0,0
,Never Disappoints!,5,HIGH,1,0,1,0,0
,Faded glory,3,LOW,0,0,0,0,0
,You will not be disappointed,4,HIGH,1,0,0,0,0
,The Mandarin Oriental London,4,HIGH,1,0,0,0,0
,Amazing one night stay!,5,HIGH,1,0,0,0,-1
,A city resort,5,HIGH,1,0,0,0,0
,Toda una Experiencia,4,HIGH,1,0,1,1,0
,Understated class,5,HIGH,1,0,0,0,0
,Localização ideal,5,HIGH,1,0,1,0,0
,Staff stupendo e b&b perfetto!,5,HIGH,1,0,0,0,0
,New Years Eve,5,HIGH,1,0,0,0,0
,Lovely Corinthia,5,HIGH,1,0,-2,0,0
,"Zentral, gut und guenstig",3,LOW,0,0,1,0,0
,Splendid hotel,5,HIGH,1,0,2,0,0
,rooms not ready on time,3,LOW,0,0,0,0,0
,A hotel to end all hotels,4,HIGH,1,0,0,2,0
,Not what it used to be,5,HIGH,1,0,1,0,0
,Perfect for the budget traveler,5,HIGH,1,0,0,0,0
,pure Class and luxury,3,LOW,0,0,0,0,0
,Luxury in London,4,HIGH,1,0,0,0,0
,A mixture of feelings,4,HIGH,1,0,0,0,0
,View of the park,3,LOW,0,0,0,0,0
,Tea at the Savoy,3,LOW,0,0,0,0,1
,"So good, had to stay again.",4,HIGH,1,0,0,0,0
,A grandiose experience.,4,HIGH,1,0,3,0,0
,Excellent hotel,4,HIGH,1,0,1,0,0
,Super,5,HIGH,1,0,0,0,0
,My favourite London Secret,5,HIGH,1,0,0,0,0
,Great Hotel!,5,HIGH,1,0,1,0,0
,Charming hotel,4,HIGH,1,0,0,0,0
,They've got it just right,4,HIGH,1,0,0,0,0
,#JustAwesome,4,HIGH,1,0,1,0,0
,Bra',4,HIGH,1,0,0,0,0
,Muy buen hotel,4,HIGH,1,0,0,0,0
,Definitely worth the treat.,5,HIGH,1,0,1,0,0
,A gem in London town,3,LOW,0,0,0,0,0
,Amazing experience,5,HIGH,1,0,0,0,0
,Brilliant Hotel!,5,HIGH,1,0,0,0,0
,Perfection,4,HIGH,1,0,0,2,0
,Small Rooms,5,HIGH,1,0,0,0,0
,Apenas Razoável,4,HIGH,1,0,0,0,-2
,Absolutely Fan-tas-tic!,5,HIGH,1,0,3,0,0
,<U+041B><U+0443><U+0447><U+0448><U+0438><U+0439> <U+0438><U+0437> <U+043B><U+0443><U+0447><U+0448><U+0438><U+0445>,5,HIGH,1,0,1,2,0
,Viagem férias em Londres,4,HIGH,1,0,0,0,0
,Magnifique!,4,HIGH,1,0,0,0,0
,Value for money!,5,HIGH,1,0,1,0,0
,<U+512A><U+96C5><U+306A><U+6642><U+9593><U+304C><U+904E><U+3054><U+305B><U+308B><U+30E9><U+30B0><U+30B8><U+30E5><U+30A2><U+30EA><U+30FC><U+30DB><U+30C6><U+30EB>,4,HIGH,1,0,0,0,0
,In one word,4,HIGH,1,0,0,0,3
,Very posh afternoon tea,5,HIGH,1,0,0,0,0
,"Fantastic hotel, lovely spa",5,HIGH,1,0,0,0,0
,Buen hotel para pasar unos días en Londres,4,HIGH,1,0,0,0,0
,Quality and good service,4,HIGH,1,0,0,0,0
,Lovely hotel with gorgeous rooms,4,HIGH,1,0,0,0,0
,Really loved this hotel. Fabulous room and lovely staff.,5,HIGH,1,0,0,0,0
,Lovely!,5,HIGH,1,0,0,0,0
,Elegant hotel in quiet area,4,HIGH,1,0,0,0,0
,So so,5,HIGH,1,0,0,0,0
,"Fantastic,Marvellous,Superb 5 stars in all its glory.",5,HIGH,1,0,0,0,0
,Way below expectations,5,HIGH,1,0,0,0,0
,Best hotel I've ever stayed in,5,HIGH,1,0,0,2,0
,Great but small rooms,5,HIGH,1,0,2,1,0
,Cool new happening hotel on the South bank,5,HIGH,1,0,0,0,0
,Royal Tea is a must,5,HIGH,1,0,1,0,0
,A deserved Icon,4,HIGH,1,0,2,0,0
,The best in London,5,HIGH,1,0,0,0,0
,"Great location, decent accommodations",5,HIGH,1,0,0,0,0
,An oasis of tranquil luxury,5,HIGH,1,0,0,0,0
,Perfect for a special occasion,5,HIGH,1,0,0,0,0
,Faultless Hotel,4,HIGH,1,0,0,0,0
,Family hotel with breakfast in good location,5,HIGH,1,0,-1,-1,0
,One of the best hotel experiences I've had,5,HIGH,1,0,0,0,0
,Excellent experience!!,5,HIGH,1,0,0,0,0
,Elegance at its Finest,5,HIGH,1,0,0,0,0
,"Looked after impeccably, as usual",5,HIGH,1,0,0,0,0
,"""Quintessentially English"".",5,HIGH,1,0,0,1,0
,Five Star Savoy,5,HIGH,1,0,0,0,0
,Good location and service for sure..,5,HIGH,1,0,0,0,0
,Lovely weekend break,5,HIGH,1,0,2,0,0
,Best Hotel i have had the pleasure to stay at,4,HIGH,1,0,0,0,0
,Bucket list stay of my dreams!,5,HIGH,1,0,0,0,0
,Best Stay In town,5,HIGH,1,0,0,0,0
,The best hotel,2,LOW,0,0,0,0,1
,Flawless,5,HIGH,1,0,0,0,0
,Fantastic hotel,5,HIGH,1,0,2,0,0
,One night stay to see a TV Show,5,HIGH,1,0,0,0,0
,Muy buen hotel pero....,5,HIGH,1,0,0,0,0
,Super Hotel an toller Lage,5,HIGH,1,0,0,0,0
,Fantastic stay,5,HIGH,1,0,0,0,0
,Buen hotel buena ubicación,4,HIGH,1,0,0,0,0
,Elegant inner city hotel,5,HIGH,1,0,0,0,0
,Great Hotel !!!,5,HIGH,1,0,0,0,0
,Disappointing,5,HIGH,1,0,2,0,0
,Does exactly what it says on the tin.,5,HIGH,1,0,0,0,0
,Great hotel for a frequent visitor,5,HIGH,1,0,1,0,0
,tolle Unterkunft an ausgezeichneter Lage,4,HIGH,1,0,0,0,0
,My favourite Hotel in London,5,HIGH,1,0,0,0,0
,Stylish hotel in a great location,5,HIGH,1,0,0,0,0
,"Quiet, clean, comfortable hotel",5,HIGH,1,0,1,-1,0
,"Nice staff,clean,good location but TINY rooms with no place to put catkin or stuff",4,HIGH,1,0,0,0,1
,Lovely Hotel,5,HIGH,1,0,0,0,-1
,wow what a wonderful hotel,5,HIGH,1,0,0,0,0
,"Modern, Centrally Located 5-Star Hotel",5,HIGH,1,0,0,0,-1
,Very nice - exceptional service,4,HIGH,1,0,0,0,0
,Location couln't be better,3,LOW,0,0,0,0,2
,Wonderful Afternoon Tea,5,HIGH,1,0,0,2,0
,Do not settle for second best,3,LOW,0,0,1,1,0
,Hôtel très agréable et bien placé avec un excellent accueil,5,HIGH,1,0,0,0,0
,Comfortable,3,LOW,0,0,0,-2,0
,Absolutely perfect,3,LOW,0,0,0,0,-1
,thouroughly enjoyed my stay,4,HIGH,1,0,0,0,0
,Soggiorno perfetto,5,HIGH,1,0,0,0,0
,"""A big warm hug...""",5,HIGH,1,0,0,0,0
,Excelente,4,HIGH,1,0,0,0,0
,"Comfortable rooms, great position",5,HIGH,1,0,0,0,0
,A stylish hotel with good service and a great location,5,HIGH,1,0,0,0,3
,Ripped Off,2,LOW,0,0,0,0,0
,Déçue par l'accueil....,5,HIGH,1,0,0,0,0
,Has to be the best in London,5,HIGH,1,0,0,1,0
,Bargain!,5,HIGH,1,0,0,0,0
,EXCELLENT PROPERTY,4,HIGH,1,0,0,0,0
,Is this really a Morgans Hotel?!,2,LOW,0,0,0,0,0
,Perfect tranquility,5,HIGH,1,0,0,2,0
,So happy with The Rembrandt!,4,HIGH,1,0,0,0,-1
,Wait until after Nov 2017,4,HIGH,1,0,0,0,0
,Good business hotel in City,4,HIGH,1,0,0,1,0
,Impecable Service,5,HIGH,1,0,0,0,0
,excellent hotel,2,LOW,0,0,0,0,0
,Not sure I want to share..............,5,HIGH,1,0,0,0,0
,Par 45,4,HIGH,1,0,-1,0,0
,Not good enough!,5,HIGH,1,0,0,0,0
,"Stunning hotel, great location, relaxing spa facilities",5,HIGH,1,0,0,0,0
,Surprised at ease of location,5,HIGH,1,0,0,0,0
,Afternoon tea an absolute delight,5,HIGH,1,0,0,-1,0
,Unbelievable Spa,5,HIGH,1,2,0,0,0
,"Still Love this place, what a great addition dinner is!! :)",4,HIGH,1,0,1,0,0
,Perfeito!,5,HIGH,1,0,0,2,0
,Great hotel,4,HIGH,1,0,0,0,0
,Bulgari Hotel - Knightsbridge,4,HIGH,1,0,0,0,0
,Beautiful boutique hotel,3,LOW,0,0,0,2,0
,great location,5,HIGH,1,0,0,0,0
,Excellent,5,HIGH,1,0,0,2,0
,A fantastic find,5,HIGH,1,0,0,0,0
,Friendliest staff,4,HIGH,1,0,3,0,0
,Lovely hotel,4,HIGH,1,0,0,0,0
,Christmas Lunch,2,LOW,0,0,0,0,0
,Très moyen,4,HIGH,1,0,0,0,0
,amazing experience,5,HIGH,1,0,0,0,0
,The Hotel is Not Special for a Five-Star Place. The nail Spa is the worst,5,HIGH,1,0,1,0,0
,Loved our Visit!,5,HIGH,1,0,0,0,0
,Pleasant surroundings and good service. Pricey though.,4,HIGH,1,0,1,0,-2
,Excellent stay,2,LOW,0,0,0,0,-1
,Very good,4,HIGH,1,0,0,0,0
,A thoroughly enjoyable stay.,5,HIGH,1,0,0,0,0
,Great stay on a budget,5,HIGH,1,0,0,0,0
,FANTASTIC HOTEL AND PHENOMENAL STAFF....,5,HIGH,1,0,0,0,3
,"Great Hotel, Great Location",4,HIGH,1,1,0,0,0
,Just marvellous,4,HIGH,1,0,0,0,0
,The Ultimate hotel in the World,5,HIGH,1,0,0,0,0
,Great hotel,3,LOW,0,0,0,2,0
,Good Location Hotel but.....,5,HIGH,1,0,0,0,0
,Très bon accueil,4,HIGH,1,0,0,0,0
,Lovely stay!,5,HIGH,1,0,0,0,0
,The Rembrandt is a good choice in London,4,HIGH,1,0,0,1,-1
,Beautiful Spa & Location :),4,HIGH,1,0,0,0,0
,The Corinthia Hotel’s Bassoon Bar.,4,HIGH,1,0,0,0,0
,New and clean,5,HIGH,1,0,0,0,0
,Another fantastic visit to the Mondrian!,2,LOW,0,0,-3,0,0
,Good Stay,4,HIGH,1,0,0,0,0
,Average Hotel,2,LOW,0,0,0,0,0
,Le top du Brunch à l'anglaise,3,LOW,0,0,0,0,0
,Not great,4,HIGH,1,0,0,0,0
,One word. Amazing!!!,4,HIGH,1,0,0,0,0
,Room not good enough,4,HIGH,1,0,0,0,0
,Un hotel cómodo y bien ubicado,4,HIGH,1,0,0,0,0
,An Amazing Hotel,5,HIGH,1,0,0,0,0
,ABSOLUTELY AMAZING!,4,HIGH,1,0,0,0,0
,London trip oct 2017,4,HIGH,1,0,0,0,0
,Trevligt och prisvärt!,5,HIGH,1,0,0,0,0
,Muito bom,2,LOW,0,0,0,1,0
,Pleasant staff and a great location,2,LOW,0,0,0,0,0
,"Bello all’apparenza, ma colazione tristissima",4,HIGH,1,0,0,0,2
,Best hotel and quiet area,2,LOW,0,0,0,0,0
,Nice location,2,LOW,0,0,0,0,0
,"Great hotel, wonderful location",4,HIGH,1,0,0,0,0
,Beautiful Classy and freindly,4,HIGH,1,0,0,0,0
,The American Bar - Art Deco elegance,4,HIGH,1,0,0,0,0
,Amazing stay can’t wait to go back!,4,HIGH,1,0,0,0,0
,February stay at Rhodes.,2,LOW,0,0,-2,0,0
,Wife's 30th birthday,4,HIGH,1,0,3,1,-1
,Afternoon tea,4,HIGH,1,0,0,0,-1
,Sparkling Hotel and Impressive Service,1,LOW,0,0,0,1,0
,OK hotel i forhold til prisen,5,HIGH,1,0,0,0,0
,Wonderful hotel,5,HIGH,1,0,0,0,0
,Afternoon tea,5,HIGH,1,0,0,0,0
,Enjoyable Industry Dinner,4,HIGH,1,0,0,0,-1
,Bond...James Bond,4,HIGH,1,0,0,0,0
,<U+C544><U+B984><U+B2F5><U+ACE0> <U+C6B0><U+C544><U+D55C> <U+D638><U+D154>,5,HIGH,1,0,0,0,0
,Serenity,5,HIGH,1,0,0,0,0
,My favourite hotel - in the world,5,HIGH,1,0,1,0,0
,3 nights in London,5,HIGH,1,0,0,0,0
,Outstanding stay for wedding,4,HIGH,1,0,0,0,0
,Birthday afternoon tea,4,HIGH,1,0,2,0,0
,Wow the Mondrian !!!,5,HIGH,1,0,0,0,0
,Terrific value; try to get renovated room,4,HIGH,1,0,0,1,0
,Outstanding Location and Service,4,HIGH,1,0,0,0,0
,A very pleasant discovery!,5,HIGH,1,0,0,0,0
,Lives up to it's name!,2,LOW,0,0,0,0,0
,Perfect London location,5,HIGH,1,0,0,0,0
,Hotel fit for a King,5,HIGH,1,0,3,0,0
,A very enjoyable stay!,5,HIGH,1,0,1,0,0
,Per soggiornare a Londra senza svenarsi,5,HIGH,1,0,0,0,0
,First class,4,HIGH,1,0,0,0,0
,Horrible service at The Savoy,4,HIGH,1,0,2,0,2
,The most wonderful dining experience in London,5,HIGH,1,0,0,1,0
,"Excellent location, superior service and old world class",4,HIGH,1,0,0,0,0
,Service de haute voltige !,5,HIGH,1,0,0,0,0
,Good... but lacked that something special,5,HIGH,1,0,0,0,0
,"Great location, lovely service !",4,HIGH,1,0,0,0,0
,Cute hotel in Kensington,3,LOW,0,0,0,0,0
,One night stay to celebrate my 40th,5,HIGH,1,0,0,0,0
,Ottimo,5,HIGH,1,0,0,0,0
,Perfect in every way!,3,LOW,0,0,0,0,0
,Caution - Musty and shabby.,4,HIGH,1,0,0,0,0
,perfection!!,5,HIGH,1,0,0,0,0
,Excellent hotel in a fantastic location for the museums!,5,HIGH,1,0,2,0,0
,Morgan Hotels does it again!,5,HIGH,1,0,1,0,0
,Great little Hotel!,5,HIGH,1,0,0,0,0
,Lunch by the River,5,HIGH,1,0,1,0,0
,A real treat!,5,HIGH,1,0,2,0,0
,Lovely but wish AC worked,4,HIGH,1,0,2,2,0
,Disappointed in room,5,HIGH,1,0,0,0,0
,Why add service charge?,4,HIGH,1,0,1,-1,0
,<U+041C><U+043E><U+0434><U+043D><U+044B><U+0439> <U+043E><U+0442><U+0435><U+043B><U+044C>,5,HIGH,1,0,0,1,0
,Nice surprise for a London hotel!,5,HIGH,1,0,2,0,0
,Excellent 4 day stay,4,HIGH,1,0,0,0,0
,An English experience,5,HIGH,1,0,0,0,0
,Perfect business trip stay!,5,HIGH,1,0,1,0,0
,Great for a late night drink!,4,HIGH,1,0,0,0,0
,Happy weekend,5,HIGH,1,0,0,1,0
,Special experience,5,HIGH,1,0,2,0,0
,<U+6539><U+88C5><U+5F8C><U+521D><U+3081><U+3066><U+306E><U+5BBF><U+6CCA>,5,HIGH,1,0,0,0,0
,Breakfast at the Northall Resataurant - a real treat in every way!,4,HIGH,1,0,0,0,0
,Super hotel in a perfect location,5,HIGH,1,0,0,0,0
,Amazing wedding!,4,HIGH,1,0,0,0,0
,Suffisant pour un court séjour.,5,HIGH,1,0,1,1,0
,Freundliche Unterkunft,4,HIGH,1,0,0,0,0
,Un buon hotel a Londra,5,HIGH,1,0,0,0,0
,High class,4,HIGH,1,0,0,1,0
,Perfect location!,5,HIGH,1,0,0,0,0
,Hotel in West London,5,HIGH,1,0,0,0,0
,"Great location, not so great Hotel",4,HIGH,1,0,0,0,0
,Wonderful weekend base,4,HIGH,1,0,1,0,0
,BEST HOTEL EVER,2,LOW,0,0,0,0,0
,Fantastic,5,HIGH,1,0,0,2,0
,Birthday weekend,5,HIGH,1,0,0,0,0
,Great experience,4,HIGH,1,0,0,0,0
,Friendly budget hotel,5,HIGH,1,0,0,0,0
,Exceptional in almost every way,2,LOW,0,0,0,0,0
,Afternoon Tea,4,HIGH,1,0,0,0,0
,Amazing-not so!,5,HIGH,1,0,0,0,0
,Bad experience,5,HIGH,1,0,0,0,0
,A great hotel in the heart of London's Financial District,4,HIGH,1,0,0,0,0
,The best service in the world,5,HIGH,1,0,0,0,0
,"Excellent option, great hotel and superb staff",5,HIGH,1,0,0,0,0
,daughters 18th Birthday,5,HIGH,1,0,0,0,0
,Ok but not stunning,5,HIGH,1,0,0,0,0
,Superb 60th Celebration,5,HIGH,1,0,1,2,0
,Great hotel,4,HIGH,1,0,0,0,0
,A Gem in a great area of London,5,HIGH,1,0,0,0,0
,Best hotel stay yet,3,LOW,0,0,2,0,0
,Giannone trip,4,HIGH,1,0,0,0,0
,Perfect location and most affordable for London town,5,HIGH,1,0,0,0,0
,Hotel estupendo y bien ubicado,4,HIGH,1,0,0,0,0
,great location,5,HIGH,1,0,0,0,1
,Excellent,5,HIGH,1,0,0,0,0
,Great Location Budget Hotel,5,HIGH,1,0,0,0,0
,Spectacular hotel in the heart of London,5,HIGH,1,0,2,0,0
,Friendly and welcoming,5,HIGH,1,0,0,0,0
,Super stay,2,LOW,0,0,0,0,0
,Tea Time,4,HIGH,1,0,0,0,0
,Amazing,5,HIGH,1,0,0,0,0
,Classic setting and service in a great central location,5,HIGH,1,0,1,0,0
,Good value,5,HIGH,1,0,1,0,0
,Pure Class,5,HIGH,1,0,2,0,0
,Perfekt,5,HIGH,1,0,1,0,0
,Dorchester Hotel Superb!,4,HIGH,1,0,0,0,0
,Amazing stay,5,HIGH,1,0,0,0,0
,Excellent séjour,5,HIGH,1,0,0,0,0
,Good stay,5,HIGH,1,0,2,0,0
,Quase indescritível,4,HIGH,1,0,0,0,0
,My 70th birthday,5,HIGH,1,0,0,0,0
,Great chic London hotel with South Bank location and 'no name',5,HIGH,1,0,1,0,0
,Perfect experience from start to the finish,5,HIGH,1,0,1,0,0
,Urban Cocktail Hide Out,5,HIGH,1,0,1,0,0
,"Lovely spa experience, not such a lovely afternoon tea experience!",4,HIGH,1,0,2,0,0
,First Class Luxury Hotel!,5,HIGH,1,0,0,0,0
,"Incredible incredible hotel, spa & staff",5,HIGH,1,0,-1,0,0
,Worth Every Penny,5,HIGH,1,0,0,1,0
,Better-than-basic business trip,4,HIGH,1,0,0,0,0
,Great location and comfortable rooms,5,HIGH,1,1,0,0,0
,Camera quintupla,5,HIGH,1,0,0,0,0
,"Great Location, good rooms, good breakfast",3,LOW,0,0,0,0,0
,Désagréable,4,HIGH,1,0,0,0,0
,Awesome stay great value,3,LOW,0,0,0,0,0
,Grand hotel,3,LOW,0,0,0,0,0
,Simply Excellent,4,HIGH,1,0,0,0,0
,Always the best,4,HIGH,1,0,0,0,0
,Theatre visit,4,HIGH,1,0,0,0,0
,<U+3068><U+306B><U+304B><U+304F><U+30DC><U+30ED><U+3044>,5,HIGH,1,0,3,0,0
,soggiorno nelle aspettative,1,LOW,0,1,0,0,0
,A+,3,LOW,0,1,0,0,0
,Can't fault the hotel at all!,2,LOW,0,0,-1,0,0
,London Gem,4,HIGH,1,0,0,0,0
,"Great style, no substance",5,HIGH,1,0,1,0,0
,spending a weekend at Mondrian London,4,HIGH,1,0,0,0,0
,Simple et central,4,HIGH,1,0,3,0,0
